id,date,weight,volume,bag_id,grinder_cal_id,grind_setting,shot_id,depth_id,method_id,description,notes
1,2023-05-14,0.0,0.0,,,,,,2,Empty,
2,2023-05-14,269.25,34.05,,,,,,2,75 balls,
3,2023-05-14,43.18,,47.0,,,,,2,Decaf beans,
4,2023-05-14,0.0,0.0,,,,,,1,Empty,
5,2023-05-14,269.25,34.05,,,,,,1,75 balls,
6,2023-05-14,43.2,,47.0,,,,,1,Decaf beans,
7,2023-05-14,0.0,0.0,,,,,,1,Empty,
8,2023-05-14,269.25,34.05,,,,,,1,75 balls,
9,2023-05-14,43.19,,47.0,,,,,1,Decaf beans,
10,2023-05-14,0.0,0.0,,,,,,2,Empty,
11,2023-05-14,269.25,34.05,,,,,,2,75 balls,
12,2023-05-14,43.19,,47.0,,,,,2,Decaf beans,
13,2023-05-15,0.0,0.0,,,,,,2,Empty,
14,2023-05-15,269.25,34.05,,,,,,2,75 balls,
15,2023-05-15,43.2,,47.0,,,,,2,Decaf beans,
16,2023-05-15,0.0,0.0,,,,,,1,Empty,
17,2023-05-15,269.25,34.05,,,,,,1,75 balls,
18,2023-05-15,43.2,,47.0,,,,,1,Decaf beans,
19,2023-05-16,0.0,0.0,,,,,,1,Empty,
20,2023-05-16,269.25,34.05,,,,,,1,75 balls,
21,2023-05-16,45.41,,76.0,,,,,1,Jam Jar #76 beans,
22,2023-05-16,41.68,,65.0,,,,,1,Doppelganger beans,
23,2023-05-16,0.0,0.0,,,,,,2,Empty,
24,2023-05-16,269.25,34.05,,,,,,2,75 balls,
25,2023-05-16,45.41,,76.0,,,,,2,Jam Jar #76 beans,
26,2023-05-16,41.68,,65.0,,,,,2,Doppelganger beans,
27,2023-05-17,0.0,0.0,,,,,,3,Empty,
28,2023-05-17,107.72,13.62,,,,,,3,30 balls,
29,2023-05-17,11.59,,76.0,,,,,3,Jam Jar #76 beans,
30,2023-05-17,11.38,,65.0,,,,,3,Doppelganger beans,
31,2023-05-18,0.0,0.0,,,,,,1,Empty,
32,2023-05-18,269.25,34.05,,,,,,1,75 balls,
33,2023-05-18,48.96,,76.0,,,,,1,Jam Jar #76 beans,
34,2023-05-18,41.71,,65.0,,,,,1,Doppelganger beans,
35,2023-05-18,0.0,0.0,,,,,,2,Empty,
